timestamp,equity,gross_equity
2016-09-25T00:00:00+00:00,99884.42170607793120000000000,100020.1968949684000000000000
2016-09-26T00:00:00+00:00,99915.38304060593120000000000,100051.1582294964000000000000
2016-09-27T00:00:00+00:00,100031.0416167607312000000000,100166.8168056512000000000000
2016-09-28T00:00:00+00:00,100161.8975465771312000000000,100297.6727354676000000000000
2016-09-29T00:00:00+00:00,100056.4286786799312000000000,100192.2038675704000000000000
2016-09-30T00:00:00+00:00,100263.4157732223312000000000,100399.1909621128000000000000
2016-10-01T00:00:00+00:00,100532.3283911907312000000000,100668.1035800812000000000000
2016-10-02T00:00:00+00:00,100439.1117609019312000000000,100574.8869497924000000000000
2016-10-03T00:00:00+00:00,100622.1476536079312000000000,100757.9228424984000000000000
2016-10-04T00:00:00+00:00,100381.3846920651312000000000,100517.1598809556000000000000
2016-10-05T00:00:00+00:00,100276.0372478766864000000000,100441.2908521456000000000000
2016-10-06T00:00:00+00:00,99975.39753589897960000000000,100180.3543455037000000000000
2016-10-07T00:00:00+00:00,100079.6799887289796000000000,100284.6367983337000000000000
2016-10-08T00:00:00+00:00,99742.75698682057960000000000,99947.71379642530000000000000
2016-10-09T00:00:00+00:00,99512.60063715817960000000000,99717.55744676290000000000000
2016-10-10T00:00:00+00:00,99431.86989730139160000000000,99664.68881762330000000000000
2016-10-11T00:00:00+00:00,100385.2643787985916000000000,100618.0832991205000000000000
2016-10-12T00:00:00+00:00,100176.1591435111916000000000,100408.9780638331000000000000
2016-10-13T00:00:00+00:00,100154.2786248437916000000000,100387.0975451657000000000000
2016-10-14T00:00:00+00:00,100267.7414072743916000000000,100500.5603275963000000000000
2016-10-15T00:00:00+00:00,100282.9957353121916000000000,100515.8146556341000000000000
2016-10-16T00:00:00+00:00,100400.9102172268436000000000,100669.5420269509000000000000
2016-10-17T00:00:00+00:00,100249.7470491232156000000000,100560.1381716217000000000000
2016-10-18T00:00:00+00:00,99494.86990263659320000000000,99821.09687484430000000000000
2016-10-19T00:00:00+00:00,99786.43919557139320000000000,100112.6661677791000000000000
2016-10-20T00:00:00+00:00,99667.27325334419320000000000,99993.50022555190000000000000
2016-10-21T00:00:00+00:00,99790.53861387539320000000000,100116.7655860831000000000000
2016-10-22T00:00:00+00:00,100680.3086883406832000000000,101024.6553632793000000000000
2016-10-23T00:00:00+00:00,100678.2566231000912000000000,101040.1227284682000000000000
2016-10-24T00:00:00+00:00,100653.8920567218912000000000,101015.7581620900000000000000
2016-10-25T00:00:00+00:00,101694.9833691094696000000000,102083.6427503201000000000000
2016-10-26T00:00:00+00:00,102258.7185961154696000000000,102647.3779773261000000000000
2016-10-27T00:00:00+00:00,102977.4545290807696000000000,103366.1139102914000000000000
2016-10-28T00:00:00+00:00,103454.6540444264696000000000,103843.3134256371000000000000
2016-10-29T00:00:00+00:00,105446.3891733908696000000000,105835.0485546015000000000000
2016-10-30T00:00:00+00:00,103669.0189126442696000000000,104057.6782938549000000000000
2016-10-31T00:00:00+00:00,103842.5627485554324000000000,104254.5420454747000000000000
2016-11-01T00:00:00+00:00,105353.1235072858324000000000,105765.1028042051000000000000
2016-11-02T00:00:00+00:00,105931.3203014606324000000000,106343.2995983799000000000000
2016-11-03T00:00:00+00:00,103659.4180639414324000000000,104071.3973608607000000000000
2016-11-04T00:00:00+00:00,104049.5683633206324000000000,104461.5476602399000000000000
